country,pref,city
日本,北海道,札幌市
日本,北海道,函館市
日本,北海道,小樽市
日本,北海道,旭川市
日本,北海道,室蘭市
日本,北海道,釧路市
日本,北海道,帯広市
日本,北海道,北見市
日本,北海道,夕張市
日本,北海道,岩見沢市
日本,北海道,網走市
日本,北海道,留萌市
日本,北海道,苫小牧市
日本,北海道,稚内市
日本,北海道,美唄市
日本,北海道,芦別市
日本,北海道,江別市
日本,北海道,赤平市
日本,北海道,紋別市
日本,北海道,士別市
日本,北海道,名寄市
日本,北海道,三笠市
日本,北海道,根室市
日本,北海道,千歳市
日本,北海道,滝川市
日本,北海道,砂川市
日本,北海道,歌志内市
日本,北海道,深川市
日本,北海道,富良野市
日本,北海道,登別市
日本,北海道,恵庭市
日本,北海道,伊達市
日本,北海道,北広島市
日本,北海道,石狩市
日本,北海道,北斗市
日本,青森県,青森市
日本,青森県,弘前市
日本,青森県,八戸市
日本,青森県,黒石市
日本,青森県,五所川原市
日本,青森県,十和田市
日本,青森県,三沢市
日本,青森県,むつ市
日本,青森県,つがる市
日本,青森県,平川市
日本,岩手県,盛岡市
日本,岩手県,宮古市
日本,岩手県,大船渡市
日本,岩手県,花巻市
日本,岩手県,北上市
日本,岩手県,久慈市
日本,岩手県,遠野市
日本,岩手県,一関市
日本,岩手県,陸前高田市
日本,岩手県,釜石市
日本,岩手県,二戸市
日本,岩手県,八幡平市
日本,岩手県,奥州市
日本,岩手県,滝沢市
日本,宮城県,仙台市
日本,宮城県,石巻市
日本,宮城県,塩竈市
日本,宮城県,気仙沼市
日本,宮城県,白石市
日本,宮城県,名取市
日本,宮城県,角田市
日本,宮城県,多賀城市
日本,宮城県,岩沼市
日本,宮城県,登米市
日本,宮城県,栗原市
日本,宮城県,東松島市
日本,宮城県,大崎市
日本,宮城県,富谷市
日本,秋田県,秋田市
日本,秋田県,能代市
日本,秋田県,横手市
日本,秋田県,大館市
日本,秋田県,男鹿市
日本,秋田県,湯沢市
日本,秋田県,鹿角市
日本,秋田県,由利本荘市
日本,秋田県,潟上市
日本,秋田県,大仙市
日本,秋田県,北秋田市
日本,秋田県,にかほ市
日本,秋田県,仙北市
日本,山形県,山形市
日本,山形県,米沢市
日本,山形県,鶴岡市
日本,山形県,酒田市
日本,山形県,新庄市
日本,山形県,寒河江市
日本,山形県,上山市
日本,山形県,村山市
日本,山形県,長井市
日本,山形県,天童市
日本,山形県,東根市
日本,山形県,尾花沢市
日本,山形県,南陽市
日本,福島県,福島市
日本,福島県,会津若松市
日本,福島県,郡山市
日本,福島県,いわき市
日本,福島県,白河市
日本,福島県,須賀川市
日本,福島県,喜多方市
日本,福島県,相馬市
日本,福島県,二本松市
日本,福島県,田村市
日本,福島県,南相馬市
日本,福島県,伊達市
日本,福島県,本宮市
日本,茨城県,水戸市
日本,茨城県,日立市
日本,茨城県,土浦市
日本,茨城県,古河市
日本,茨城県,石岡市
日本,茨城県,結城市
日本,茨城県,龍ケ崎市
日本,茨城県,下妻市
日本,茨城県,常総市
日本,茨城県,常陸太田市
日本,茨城県,高萩市
日本,茨城県,北茨城市
日本,茨城県,笠間市
日本,茨城県,取手市
日本,茨城県,牛久市
日本,茨城県,つくば市
日本,茨城県,ひたちなか市
日本,茨城県,鹿嶋市
日本,茨城県,潮来市
日本,茨城県,守谷市
日本,茨城県,常陸大宮市
日本,茨城県,那珂市
日本,茨城県,筑西市
日本,茨城県,坂東市
日本,茨城県,稲敷市
日本,茨城県,かすみがうら市
日本,茨城県,桜川市
日本,茨城県,神栖市
日本,茨城県,行方市
日本,茨城県,鉾田市
日本,茨城県,つくばみらい市
日本,茨城県,小美玉市
日本,栃木県,宇都宮市
日本,栃木県,足利市
日本,栃木県,栃木市
日本,栃木県,佐野市
日本,栃木県,鹿沼市
日本,栃木県,日光市
日本,栃木県,小山市
日本,栃木県,真岡市
日本,栃木県,大田原市
日本,栃木県,矢板市
日本,栃木県,那須塩原市
日本,栃木県,さくら市
日本,栃木県,那須烏山市
日本,栃木県,下野市
日本,群馬県,前橋市
日本,群馬県,高崎市
日本,群馬県,桐生市
日本,群馬県,伊勢崎市
日本,群馬県,太田市
日本,群馬県,沼田市
日本,群馬県,館林市
日本,群馬県,渋川市
日本,群馬県,藤岡市
日本,群馬県,富岡市
日本,群馬県,安中市
日本,群馬県,みどり市
日本,埼玉県,さいたま市
日本,埼玉県,川越市
日本,埼玉県,熊谷市
日本,埼玉県,川口市
日本,埼玉県,行田市
日本,埼玉県,秩父市
日本,埼玉県,所沢市
日本,埼玉県,飯能市
日本,埼玉県,加須市
日本,埼玉県,本庄市
日本,埼玉県,東松山市
日本,埼玉県,春日部市
日本,埼玉県,狭山市
日本,埼玉県,羽生市
日本,埼玉県,鴻巣市
日本,埼玉県,深谷市
日本,埼玉県,上尾市
日本,埼玉県,草加市
日本,埼玉県,越谷市
日本,埼玉県,蕨市
日本,埼玉県,戸田市
日本,埼玉県,入間市
日本,埼玉県,朝霞市
日本,埼玉県,志木市
日本,埼玉県,和光市
日本,埼玉県,新座市
日本,埼玉県,桶川市
日本,埼玉県,久喜市
日本,埼玉県,北本市
日本,埼玉県,八潮市
日本,埼玉県,富士見市
日本,埼玉県,三郷市
日本,埼玉県,蓮田市
日本,埼玉県,坂戸市
日本,埼玉県,幸手市
日本,埼玉県,鶴ヶ島市
日本,埼玉県,日高市
日本,埼玉県,吉川市
日本,埼玉県,ふじみ野市
日本,埼玉県,白岡市
日本,千葉県,千葉市
日本,千葉県,銚子市
日本,千葉県,市川市
日本,千葉県,船橋市
日本,千葉県,館山市
日本,千葉県,木更津市
日本,千葉県,松戸市
日本,千葉県,野田市
日本,千葉県,茂原市
日本,千葉県,成田市
日本,千葉県,佐倉市
日本,千葉県,東金市
日本,千葉県,旭市
日本,千葉県,習志野市
日本,千葉県,柏市
日本,千葉県,勝浦市
日本,千葉県,市原市
日本,千葉県,流山市
日本,千葉県,八千代市
日本,千葉県,我孫子市
日本,千葉県,鴨川市
日本,千葉県,鎌ケ谷市
日本,千葉県,君津市
日本,千葉県,富津市
日本,千葉県,浦安市
日本,千葉県,四街道市
日本,千葉県,袖ケ浦市
日本,千葉県,八街市
日本,千葉県,印西市
日本,千葉県,白井市
日本,千葉県,富里市
日本,千葉県,南房総市
日本,千葉県,匝瑳市
日本,千葉県,香取市
日本,千葉県,山武市
日本,千葉県,いすみ市
日本,千葉県,大網白里市
日本,東京都,特別区部
日本,東京都,八王子市
日本,東京都,立川市
日本,東京都,武蔵野市
日本,東京都,三鷹市
日本,東京都,千代田区
日本,東京都,中央区
日本,東京都,港区
日本,東京都,新宿区
日本,東京都,文京区
日本,東京都,台東区
日本,東京都,墨田区
日本,東京都,江東区
日本,東京都,品川区
日本,東京都,目黒区
日本,東京都,大田区
日本,東京都,世田谷区
日本,東京都,渋谷区
日本,東京都,中野区
